UF;Município;IFDM;Emprego & Renda;Educação;Saúde
MA;Governador Eugênio Barros;0,586309;0,416034;0,600879;0,742014
PB;Caraúbas;0,586268;0,433151;0,660221;0,665434
MG;José Raydan;0,586201;0,439871;0,794951;0,52378
PB;Mãe d'Água;0,586123;0,31836;0,72382;0,716191
PR;Ivaí;0,585991;0,385736;0,724998;0,647239
PE;Santa Cruz;0,585928;0,401503;0,669343;0,68694
MA;Raposa;0,585926;0,454367;0,634349;0,669062
AL;Ouro Branco;0,585909;0,374897;0,497575;0,885256
BA;Aramari;0,58587;0,318088;0,660506;0,779015
BA;Pojuca;0,585737;0,363222;0,613988;0,780001
BA;Tapiramutá;0,585689;0,412862;0,72657;0,617636
PA;Itaituba;0,585585;0,529602;0,615009;0,612143
PE;Bonito;0,585578;0,3297;0,789431;0,637604
SE;Salgado;0,585459;0,322582;0,721207;0,712587
TO;Buriti do Tocantins;0,585395;0,317916;0,694075;0,744194
MA;São Domingos do Maranhão;0,58538;0,325747;0,673194;0,757198
CE;Umirim;0,58524;0,257245;0,759748;0,738726
MT;Porto Alegre do Norte;0,585227;0,446778;0,721178;0,587725
RN;Encanto;0,585201;0,461082;0,693327;0,601193
MG;Urucuia;0,585173;0,309112;0,72406;0,722349
MG;Pedra Bonita;0,585169;0,254402;0,735414;0,765691
GO;São Domingos;0,58512;0,285349;0,692729;0,777282
AL;Jaramataia;0,584898;0,289356;0,739253;0,726084
BA;Aporá;0,584557;0,429318;0,57255;0,751804
BA;Jeremoabo;0,584378;0,432225;0,616291;0,704619
MG;Luislândia;0,584373;0,289047;0,812237;0,651836
TO;Riachinho;0,584308;0,282165;0,588982;0,881776
TO;Miranorte;0,584268;0,456178;0,715227;0,5814
MG;Verdelândia;0,584239;0,280244;0,806354;0,666119
SE;Poço Verde;0,584234;0,476579;0,687997;0,588125
MG;Catuji;0,584183;0,456956;0,74792;0,547673
MG;Berilo;0,584163;0,395857;0,810313;0,546319
BA;Bonito;0,584018;0,488211;0,638447;0,625394
BA;Santa Brígida;0,584003;0,370224;0,606015;0,775771
MG;Itaverava;0,583985;0,259745;0,784993;0,707218
SE;Pedra Mole;0,583983;0,272502;0,678033;0,801412
MG;Arinos;0,583754;0,330332;0,792281;0,628648
MG;Coluna;0,583707;0,413095;0,761997;0,57603
MG;Tumiritinga;0,583635;0,277941;0,768973;0,70399
MG;Umburatiba;0,583555;0,396299;0,661429;0,692938
RN;José da Penha;0,583407;0,436485;0,581415;0,732321
PB;Olho d'Água;0,583376;0,471288;0,721438;0,557404
AL;Pariconha;0,583324;0,35364;0,707775;0,688558
BA;Várzea Nova;0,583304;0,450594;0,620975;0,678343
PB;Nova Floresta;0,58321;0,269291;0,718245;0,762094
PI;Francisco Ayres;0,58321;0,242689;0,738825;0,768117
BA;Valença;0,583135;0,516146;0,606564;0,626695
